id;texto;termo;classe
4.3.1.13.14;INFORMAÇÕES ESPECÍFICAS – CONTRATOS REGIDOS POR LEI ESTRANGEIRA E FORO NO 4.3.1.14 4.3.1.15 4.3.2 4.4 4.4.1 4.4.2 4.5 4.5.1 4.5.2 4.6 4.6.1 4.6.2 4.6.3 4.6.4 4.6.5 4.6.6 5 EXTERIOR,20 PREENCHIMENTO DO FORMULÁRIO NO SICLG,39 APRESENTAÇÃO DE PROPOSIÇÃO,39 GECOT/CECOT,39 FORMALIZAÇÃO DE CONTRATO,40 GECOT/CECOT,40 GESTOR,42 CONTROLE DA ATA DE REGISTRO DE PREÇOS,42 GESTOR,42 CECOT,42 CONSULTAS DE IMPEDIMENTOS PARA LICITAR E CONTRATAR E DA REGULARIDADE DO FORNECEDOR,43 IMPEDIMENTOS PARA CONTRATAÇÃO,43 REGULARIDADE FISCAL E TRABALHISTA,45 TRANSAÇÃO COM PARTES RELACIONADAS,46 REGULARIDADE CADASTRAL,46 ATENDIMENTO À CIRCULAR BACEN 3978/2020 – CONHEÇA SEU FORNECEDOR,46 RISCOS SOCIAIS, AMBIENTAIS, CLIMÁTICOS E RISCO DE TERCEIROS NO CONTRATO ,47 ANEXOS,47;anexo;documento
4.3.1.13.14;INFORMAÇÕES ESPECÍFICAS – CONTRATOS REGIDOS POR LEI ESTRANGEIRA E FORO NO 4.3.1.14 4.3.1.15 4.3.2 4.4 4.4.1 4.4.2 4.5 4.5.1 4.5.2 4.6 4.6.1 4.6.2 4.6.3 4.6.4 4.6.5 4.6.6 5 EXTERIOR,20 PREENCHIMENTO DO FORMULÁRIO NO SICLG,39 APRESENTAÇÃO DE PROPOSIÇÃO,39 GECOT/CECOT,39 FORMALIZAÇÃO DE CONTRATO,40 GECOT/CECOT,40 GESTOR,42 CONTROLE DA ATA DE REGISTRO DE PREÇOS,42 GESTOR,42 CECOT,42 CONSULTAS DE IMPEDIMENTOS PARA LICITAR E CONTRATAR E DA REGULARIDADE DO FORNECEDOR,43 IMPEDIMENTOS PARA CONTRATAÇÃO,43 REGULARIDADE FISCAL E TRABALHISTA,45 TRANSAÇÃO COM PARTES RELACIONADAS,46 REGULARIDADE CADASTRAL,46 ATENDIMENTO À CIRCULAR BACEN 3978/2020 – CONHEÇA SEU FORNECEDOR,46 RISCOS SOCIAIS, AMBIENTAIS, CLIMÁTICOS E RISCO DE TERCEIROS NO CONTRATO ,47 ANEXOS,47;formulario;documento
4.3.1.13.14;INFORMAÇÕES ESPECÍFICAS – CONTRATOS REGIDOS POR LEI ESTRANGEIRA E FORO NO 4.3.1.14 4.3.1.15 4.3.2 4.4 4.4.1 4.4.2 4.5 4.5.1 4.5.2 4.6 4.6.1 4.6.2 4.6.3 4.6.4 4.6.5 4.6.6 5 EXTERIOR,20 PREENCHIMENTO DO FORMULÁRIO NO SICLG,39 APRESENTAÇÃO DE PROPOSIÇÃO,39 GECOT/CECOT,39 FORMALIZAÇÃO DE CONTRATO,40 GECOT/CECOT,40 GESTOR,42 CONTROLE DA ATA DE REGISTRO DE PREÇOS,42 GESTOR,42 CECOT,42 CONSULTAS DE IMPEDIMENTOS PARA LICITAR E CONTRATAR E DA REGULARIDADE DO FORNECEDOR,43 IMPEDIMENTOS PARA CONTRATAÇÃO,43 REGULARIDADE FISCAL E TRABALHISTA,45 TRANSAÇÃO COM PARTES RELACIONADAS,46 REGULARIDADE CADASTRAL,46 ATENDIMENTO À CIRCULAR BACEN 3978/2020 – CONHEÇA SEU FORNECEDOR,46 RISCOS SOCIAIS, AMBIENTAIS, CLIMÁTICOS E RISCO DE TERCEIROS NO CONTRATO ,47 ANEXOS,47;registro;documento
4.3.1.13.14;INFORMAÇÕES ESPECÍFICAS – CONTRATOS REGIDOS POR LEI ESTRANGEIRA E FORO NO 4.3.1.14 4.3.1.15 4.3.2 4.4 4.4.1 4.4.2 4.5 4.5.1 4.5.2 4.6 4.6.1 4.6.2 4.6.3 4.6.4 4.6.5 4.6.6 5 EXTERIOR,20 PREENCHIMENTO DO FORMULÁRIO NO SICLG,39 APRESENTAÇÃO DE PROPOSIÇÃO,39 GECOT/CECOT,39 FORMALIZAÇÃO DE CONTRATO,40 GECOT/CECOT,40 GESTOR,42 CONTROLE DA ATA DE REGISTRO DE PREÇOS,42 GESTOR,42 CECOT,42 CONSULTAS DE IMPEDIMENTOS PARA LICITAR E CONTRATAR E DA REGULARIDADE DO FORNECEDOR,43 IMPEDIMENTOS PARA CONTRATAÇÃO,43 REGULARIDADE FISCAL E TRABALHISTA,45 TRANSAÇÃO COM PARTES RELACIONADAS,46 REGULARIDADE CADASTRAL,46 ATENDIMENTO À CIRCULAR BACEN 3978/2020 – CONHEÇA SEU FORNECEDOR,46 RISCOS SOCIAIS, AMBIENTAIS, CLIMÁTICOS E RISCO DE TERCEIROS NO CONTRATO ,47 ANEXOS,47;transacao;funcao
4.3.1.13.14;INFORMAÇÕES ESPECÍFICAS – CONTRATOS REGIDOS POR LEI ESTRANGEIRA E FORO NO 4.3.1.14 4.3.1.15 4.3.2 4.4 4.4.1 4.4.2 4.5 4.5.1 4.5.2 4.6 4.6.1 4.6.2 4.6.3 4.6.4 4.6.5 4.6.6 5 EXTERIOR,20 PREENCHIMENTO DO FORMULÁRIO NO SICLG,39 APRESENTAÇÃO DE PROPOSIÇÃO,39 GECOT/CECOT,39 FORMALIZAÇÃO DE CONTRATO,40 GECOT/CECOT,40 GESTOR,42 CONTROLE DA ATA DE REGISTRO DE PREÇOS,42 GESTOR,42 CECOT,42 CONSULTAS DE IMPEDIMENTOS PARA LICITAR E CONTRATAR E DA REGULARIDADE DO FORNECEDOR,43 IMPEDIMENTOS PARA CONTRATAÇÃO,43 REGULARIDADE FISCAL E TRABALHISTA,45 TRANSAÇÃO COM PARTES RELACIONADAS,46 REGULARIDADE CADASTRAL,46 ATENDIMENTO À CIRCULAR BACEN 3978/2020 – CONHEÇA SEU FORNECEDOR,46 RISCOS SOCIAIS, AMBIENTAIS, CLIMÁTICOS E RISCO DE TERCEIROS NO CONTRATO ,47 ANEXOS,47;lei;legislacao
4.3.1.13.14;INFORMAÇÕES ESPECÍFICAS – CONTRATOS REGIDOS POR LEI ESTRANGEIRA E FORO NO 4.3.1.14 4.3.1.15 4.3.2 4.4 4.4.1 4.4.2 4.5 4.5.1 4.5.2 4.6 4.6.1 4.6.2 4.6.3 4.6.4 4.6.5 4.6.6 5 EXTERIOR,20 PREENCHIMENTO DO FORMULÁRIO NO SICLG,39 APRESENTAÇÃO DE PROPOSIÇÃO,39 GECOT/CECOT,39 FORMALIZAÇÃO DE CONTRATO,40 GECOT/CECOT,40 GESTOR,42 CONTROLE DA ATA DE REGISTRO DE PREÇOS,42 GESTOR,42 CECOT,42 CONSULTAS DE IMPEDIMENTOS PARA LICITAR E CONTRATAR E DA REGULARIDADE DO FORNECEDOR,43 IMPEDIMENTOS PARA CONTRATAÇÃO,43 REGULARIDADE FISCAL E TRABALHISTA,45 TRANSAÇÃO COM PARTES RELACIONADAS,46 REGULARIDADE CADASTRAL,46 ATENDIMENTO À CIRCULAR BACEN 3978/2020 – CONHEÇA SEU FORNECEDOR,46 RISCOS SOCIAIS, AMBIENTAIS, CLIMÁTICOS E RISCO DE TERCEIROS NO CONTRATO ,47 ANEXOS,47;ano;data
2;/ 47 PREFÁCIO TÍTULO CONTRATAÇÕES DE BENS E SERVIÇOS UNIDADE RESPONSÁVEL GECOT – GN CONTRATACOES ADMINISTRATIVAS PÚBLICO ALVO Todas as Unidades da CAIXA ALTERAÇÕES EM RELAÇÃO À VERSÃO ANTERIOR Inclusões: ▪ Item  3.6.2  –  Inclusão  de  item  sobre  disposições  em  relação  a  contratações  diretas  que  prevejam  adoção  de  lei  e foro estrangeiros. Alterações ▪ Item  3.3.6.8  e  3.3.6.8.1  –  inclusão  de  itens  referente  à  vedação  de  pagamento  antecipado  e  previsões  para  caso excepcionais. ▪ Item 3.5.1.1.2 – Inclusão de previsão de prazo mínimo adicional para contratações diretas que  prevejam adoção de lei e foro estrangeiros. ▪ Item 4.3.1.4.9 – Inclusão de item exigindo justificativas quando da adoção de previsão de pagamento antecipado. ▪ Item  4.3.1.10.6.6  –  Alteração  da  redação  para  esclarecer  que  as  exigências  de  qualificação  técnica  devem  ser mensuráveis, sendo vedada exigência genéricas ou indeterminadas. ▪ Item  4.3.1.10.6.6.1  e  4.3.1.10.6.6.2  –  Inclusão  de  orientações  sobre  condições  de  exigência  de  comprovação  de prazos de execução, experiência ou período de prestação dos serviços. Anexos: ▪ Não houve alterações. RELAÇÃO COM OUTROS NORMATIVOS AD006 PREVENÇÃO À LAVAGEM DE DINHEIRO, AO FINANCIAMENTO DO TERRORISMO E AO FINANCIAMENTO DA PROLIFERAÇÃO DE ARMAS DE DESTRUIÇÃO EM MASSA AD014 TRANSPORTE DE PESSOAS A SERVIÇO DA CAIXA, BENS, DOCUMENTOS AD028 CONTRATAÇÕES DIRETAS AD035 SEGURANÇA - VIGILÂNCIA OSTENSIVA AD069 LICITAÇÕES NA CAIXA AD089 INFRAESTRUTURA - COMODATO E CESSÃO DE IMÓVEIS OU ÁREA DE IMÓVEIS DE USO DA CAIXA AD090 SUPRIMENTOS - LOGÍSTICA DE MATERIAL PERMANENTE AD103 PAGAMENTOS A FORNECEDORES AD143 SUPRIMENTOS - AQUISIÇÃO E MANUTENÇÃO DOS EQUIPAMENTOS DE USO E DE PEQUENA MONTA AD200 LOCAÇÃO, CESSÃO OU COMODATO DE IMÓVEL OU ÁREA DE IMÓVEL PARA USO DA CAIXA AD233 CONTRATAÇÕES CONCORRENCIAIS AD242  GESTÃO  DE  CONTRATOS  ADMINISTRATIVOS,  CONCORRENCIAIS,  SOLUÇÕES PATROCÍNIO E ATAS DE REGISTRO DE PREÇOS AD244 PRESTAÇÃO DE SERVIÇOS NA CAIXA - ANÁLISE DA SOLICITAÇÃO DE CONTRATAÇÃO AD255 PRESTAÇÃO DOS SERVIÇOS DE APOIO ADMINISTRATIVO AD264  CONTRATAÇÃO  E  CONFORMIDADE  NA  ANÁLISE  DE  PRESTAÇÃO  DE  CONTAS  E  DESEMBOLSO  DE PATROCÍNIOS AD288 Licitação e Contratação de Soluções Inovadoras AE008 PUBLICIDADE LEGAL AE013 MARKETING - PATROCÍNIO INOVADORAS,;anexo;documento
2;/ 47 PREFÁCIO TÍTULO CONTRATAÇÕES DE BENS E SERVIÇOS UNIDADE RESPONSÁVEL GECOT – GN CONTRATACOES ADMINISTRATIVAS PÚBLICO ALVO Todas as Unidades da CAIXA ALTERAÇÕES EM RELAÇÃO À VERSÃO ANTERIOR Inclusões: ▪ Item  3.6.2  –  Inclusão  de  item  sobre  disposições  em  relação  a  contratações  diretas  que  prevejam  adoção  de  lei  e foro estrangeiros. Alterações ▪ Item  3.3.6.8  e  3.3.6.8.1  –  inclusão  de  itens  referente  à  vedação  de  pagamento  antecipado  e  previsões  para  caso excepcionais. ▪ Item 3.5.1.1.2 – Inclusão de previsão de prazo mínimo adicional para contratações diretas que  prevejam adoção de lei e foro estrangeiros. ▪ Item 4.3.1.4.9 – Inclusão de item exigindo justificativas quando da adoção de previsão de pagamento antecipado. ▪ Item  4.3.1.10.6.6  –  Alteração  da  redação  para  esclarecer  que  as  exigências  de  qualificação  técnica  devem  ser mensuráveis, sendo vedada exigência genéricas ou indeterminadas. ▪ Item  4.3.1.10.6.6.1  e  4.3.1.10.6.6.2  –  Inclusão  de  orientações  sobre  condições  de  exigência  de  comprovação  de prazos de execução, experiência ou período de prestação dos serviços. Anexos: ▪ Não houve alterações. RELAÇÃO COM OUTROS NORMATIVOS AD006 PREVENÇÃO À LAVAGEM DE DINHEIRO, AO FINANCIAMENTO DO TERRORISMO E AO FINANCIAMENTO DA PROLIFERAÇÃO DE ARMAS DE DESTRUIÇÃO EM MASSA AD014 TRANSPORTE DE PESSOAS A SERVIÇO DA CAIXA, BENS, DOCUMENTOS AD028 CONTRATAÇÕES DIRETAS AD035 SEGURANÇA - VIGILÂNCIA OSTENSIVA AD069 LICITAÇÕES NA CAIXA AD089 INFRAESTRUTURA - COMODATO E CESSÃO DE IMÓVEIS OU ÁREA DE IMÓVEIS DE USO DA CAIXA AD090 SUPRIMENTOS - LOGÍSTICA DE MATERIAL PERMANENTE AD103 PAGAMENTOS A FORNECEDORES AD143 SUPRIMENTOS - AQUISIÇÃO E MANUTENÇÃO DOS EQUIPAMENTOS DE USO E DE PEQUENA MONTA AD200 LOCAÇÃO, CESSÃO OU COMODATO DE IMÓVEL OU ÁREA DE IMÓVEL PARA USO DA CAIXA AD233 CONTRATAÇÕES CONCORRENCIAIS AD242  GESTÃO  DE  CONTRATOS  ADMINISTRATIVOS,  CONCORRENCIAIS,  SOLUÇÕES PATROCÍNIO E ATAS DE REGISTRO DE PREÇOS AD244 PRESTAÇÃO DE SERVIÇOS NA CAIXA - ANÁLISE DA SOLICITAÇÃO DE CONTRATAÇÃO AD255 PRESTAÇÃO DOS SERVIÇOS DE APOIO ADMINISTRATIVO AD264  CONTRATAÇÃO  E  CONFORMIDADE  NA  ANÁLISE  DE  PRESTAÇÃO  DE  CONTAS  E  DESEMBOLSO  DE PATROCÍNIOS AD288 Licitação e Contratação de Soluções Inovadoras AE008 PUBLICIDADE LEGAL AE013 MARKETING - PATROCÍNIO INOVADORAS,;registro;documento
2;/ 47 PREFÁCIO TÍTULO CONTRATAÇÕES DE BENS E SERVIÇOS UNIDADE RESPONSÁVEL GECOT – GN CONTRATACOES ADMINISTRATIVAS PÚBLICO ALVO Todas as Unidades da CAIXA ALTERAÇÕES EM RELAÇÃO À VERSÃO ANTERIOR Inclusões: ▪ Item  3.6.2  –  Inclusão  de  item  sobre  disposições  em  relação  a  contratações  diretas  que  prevejam  adoção  de  lei  e foro estrangeiros. Alterações ▪ Item  3.3.6.8  e  3.3.6.8.1  –  inclusão  de  itens  referente  à  vedação  de  pagamento  antecipado  e  previsões  para  caso excepcionais. ▪ Item 3.5.1.1.2 – Inclusão de previsão de prazo mínimo adicional para contratações diretas que  prevejam adoção de lei e foro estrangeiros. ▪ Item 4.3.1.4.9 – Inclusão de item exigindo justificativas quando da adoção de previsão de pagamento antecipado. ▪ Item  4.3.1.10.6.6  –  Alteração  da  redação  para  esclarecer  que  as  exigências  de  qualificação  técnica  devem  ser mensuráveis, sendo vedada exigência genéricas ou indeterminadas. ▪ Item  4.3.1.10.6.6.1  e  4.3.1.10.6.6.2  –  Inclusão  de  orientações  sobre  condições  de  exigência  de  comprovação  de prazos de execução, experiência ou período de prestação dos serviços. Anexos: ▪ Não houve alterações. RELAÇÃO COM OUTROS NORMATIVOS AD006 PREVENÇÃO À LAVAGEM DE DINHEIRO, AO FINANCIAMENTO DO TERRORISMO E AO FINANCIAMENTO DA PROLIFERAÇÃO DE ARMAS DE DESTRUIÇÃO EM MASSA AD014 TRANSPORTE DE PESSOAS A SERVIÇO DA CAIXA, BENS, DOCUMENTOS AD028 CONTRATAÇÕES DIRETAS AD035 SEGURANÇA - VIGILÂNCIA OSTENSIVA AD069 LICITAÇÕES NA CAIXA AD089 INFRAESTRUTURA - COMODATO E CESSÃO DE IMÓVEIS OU ÁREA DE IMÓVEIS DE USO DA CAIXA AD090 SUPRIMENTOS - LOGÍSTICA DE MATERIAL PERMANENTE AD103 PAGAMENTOS A FORNECEDORES AD143 SUPRIMENTOS - AQUISIÇÃO E MANUTENÇÃO DOS EQUIPAMENTOS DE USO E DE PEQUENA MONTA AD200 LOCAÇÃO, CESSÃO OU COMODATO DE IMÓVEL OU ÁREA DE IMÓVEL PARA USO DA CAIXA AD233 CONTRATAÇÕES CONCORRENCIAIS AD242  GESTÃO  DE  CONTRATOS  ADMINISTRATIVOS,  CONCORRENCIAIS,  SOLUÇÕES PATROCÍNIO E ATAS DE REGISTRO DE PREÇOS AD244 PRESTAÇÃO DE SERVIÇOS NA CAIXA - ANÁLISE DA SOLICITAÇÃO DE CONTRATAÇÃO AD255 PRESTAÇÃO DOS SERVIÇOS DE APOIO ADMINISTRATIVO AD264  CONTRATAÇÃO  E  CONFORMIDADE  NA  ANÁLISE  DE  PRESTAÇÃO  DE  CONTAS  E  DESEMBOLSO  DE PATROCÍNIOS AD288 Licitação e Contratação de Soluções Inovadoras AE008 PUBLICIDADE LEGAL AE013 MARKETING - PATROCÍNIO INOVADORAS,;deve;processo
2;/ 47 PREFÁCIO TÍTULO CONTRATAÇÕES DE BENS E SERVIÇOS UNIDADE RESPONSÁVEL GECOT – GN CONTRATACOES ADMINISTRATIVAS PÚBLICO ALVO Todas as Unidades da CAIXA ALTERAÇÕES EM RELAÇÃO À VERSÃO ANTERIOR Inclusões: ▪ Item  3.6.2  –  Inclusão  de  item  sobre  disposições  em  relação  a  contratações  diretas  que  prevejam  adoção  de  lei  e foro estrangeiros. Alterações ▪ Item  3.3.6.8  e  3.3.6.8.1  –  inclusão  de  itens  referente  à  vedação  de  pagamento  antecipado  e  previsões  para  caso excepcionais. ▪ Item 3.5.1.1.2 – Inclusão de previsão de prazo mínimo adicional para contratações diretas que  prevejam adoção de lei e foro estrangeiros. ▪ Item 4.3.1.4.9 – Inclusão de item exigindo justificativas quando da adoção de previsão de pagamento antecipado. ▪ Item  4.3.1.10.6.6  –  Alteração  da  redação  para  esclarecer  que  as  exigências  de  qualificação  técnica  devem  ser mensuráveis, sendo vedada exigência genéricas ou indeterminadas. ▪ Item  4.3.1.10.6.6.1  e  4.3.1.10.6.6.2  –  Inclusão  de  orientações  sobre  condições  de  exigência  de  comprovação  de prazos de execução, experiência ou período de prestação dos serviços. Anexos: ▪ Não houve alterações. RELAÇÃO COM OUTROS NORMATIVOS AD006 PREVENÇÃO À LAVAGEM DE DINHEIRO, AO FINANCIAMENTO DO TERRORISMO E AO FINANCIAMENTO DA PROLIFERAÇÃO DE ARMAS DE DESTRUIÇÃO EM MASSA AD014 TRANSPORTE DE PESSOAS A SERVIÇO DA CAIXA, BENS, DOCUMENTOS AD028 CONTRATAÇÕES DIRETAS AD035 SEGURANÇA - VIGILÂNCIA OSTENSIVA AD069 LICITAÇÕES NA CAIXA AD089 INFRAESTRUTURA - COMODATO E CESSÃO DE IMÓVEIS OU ÁREA DE IMÓVEIS DE USO DA CAIXA AD090 SUPRIMENTOS - LOGÍSTICA DE MATERIAL PERMANENTE AD103 PAGAMENTOS A FORNECEDORES AD143 SUPRIMENTOS - AQUISIÇÃO E MANUTENÇÃO DOS EQUIPAMENTOS DE USO E DE PEQUENA MONTA AD200 LOCAÇÃO, CESSÃO OU COMODATO DE IMÓVEL OU ÁREA DE IMÓVEL PARA USO DA CAIXA AD233 CONTRATAÇÕES CONCORRENCIAIS AD242  GESTÃO  DE  CONTRATOS  ADMINISTRATIVOS,  CONCORRENCIAIS,  SOLUÇÕES PATROCÍNIO E ATAS DE REGISTRO DE PREÇOS AD244 PRESTAÇÃO DE SERVIÇOS NA CAIXA - ANÁLISE DA SOLICITAÇÃO DE CONTRATAÇÃO AD255 PRESTAÇÃO DOS SERVIÇOS DE APOIO ADMINISTRATIVO AD264  CONTRATAÇÃO  E  CONFORMIDADE  NA  ANÁLISE  DE  PRESTAÇÃO  DE  CONTAS  E  DESEMBOLSO  DE PATROCÍNIOS AD288 Licitação e Contratação de Soluções Inovadoras AE008 PUBLICIDADE LEGAL AE013 MARKETING - PATROCÍNIO INOVADORAS,;manter;processo
